"NYA.Open","NYA.High","NYA.Low","NYA.Close","NYA.Volume","NYA.Adjusted","Date"
8191.129883,8227.040039,8081.540039,8135.529785,4118160000,8135.529785,"2011-07-18"
8227.040039,8260.269531,8135.529785,8254.379883,4304600000,8254.379883,"2011-07-19"
8135.529785,8301.790039,8135.529785,8281.830078,3767420000,8281.830078,"2011-07-20"
8254.379883,8423.049805,8254.379883,8411.450195,4837430000,8411.450195,"2011-07-21"
8411.450195,8417.969727,8364.610352,8408.200195,3522830000,8408.200195,"2011-07-22"
8408.200195,8408.200195,8325.610352,8357.570313,3536890000,8357.570313,"2011-07-25"
8408.200195,8408.200195,8315.719727,8331.669922,4007050000,8331.669922,"2011-07-26"
8357.570313,8357.570313,8144.930176,8153.209961,3479040000,8153.209961,"2011-07-27"
8153.209961,8212.990234,8114.569824,8124.029785,4951800000,8124.029785,"2011-07-28"
8153.209961,8153.209961,8011.450195,8079.439941,5061190000,8079.439941,"2011-07-29"
8124.029785,8172.339844,7972.910156,8040.930176,4967390000,8040.930176,"2011-08-01"
8079.439941,8079.439941,7831.080078,7831.97998,5206290000,7831.97998,"2011-08-02"
8040.930176,8040.930176,7698.850098,7853.200195,6446940000,7853.200195,"2011-08-03"
7831.97998,7853.200195,7422.939941,7428.399902,4266530000,7428.399902,"2011-08-04"
7853.200195,7853.200195,7218.839844,7419.069824,5454590000,7419.069824,"2011-08-05"
7428.399902,7428.399902,6891.040039,6895.970215,2615150000,6895.970215,"2011-08-08"
7419.069824,7419.069824,6895.970215,7258.040039,2366660000,7258.040039,"2011-08-09"
6895.970215,7258.040039,6895.970215,7101.240234,5018070000,7101.240234,"2011-08-10"
7258.040039,7336.450195,6938.22998,7257.580078,3685050000,7257.580078,"2011-08-11"
6938.22998,7363.910156,6938.22998,7303.879883,5640380000,7303.879883,"2011-08-12"
7303.879883,7482.709961,7303.879883,7482.709961,4272850000,7482.709961,"2011-08-15"
7303.879883,7482.709961,7303.879883,7394.490234,5071600000,7394.490234,"2011-08-16"
7394.490234,7418.939941,7394.490234,7418.939941,4388340000,7418.939941,"2011-08-17"
7418.939941,7418.939941,7070.220215,7079.410156,3234810000,7079.410156,"2011-08-18"
7079.410156,7079.410156,6962.569824,6970.100098,5167560000,6970.100098,"2011-08-19"
6970.100098,7124.759766,6967.47998,6980.620117,5436260000,6980.620117,"2011-08-22"
6970.100098,7209.589844,6970.100098,7209.589844,5013170000,7209.589844,"2011-08-23"
6980.620117,7277.649902,6980.620117,7273.129883,5315310000,7273.129883,"2011-08-24"
7273.129883,7342.029785,7128.72998,7149.669922,5748420000,7149.669922,"2011-08-25"
7273.129883,7273.129883,7002.75,7245.819824,5035320000,7245.819824,"2011-08-26"
7149.669922,7450.629883,7149.669922,7450.299805,4228070000,7450.299805,"2011-08-29"
7450.299805,7503.200195,7354.109863,7464,4572570000,7464,"2011-08-30"
7450.299805,7587.069824,7450.299805,7528.390137,5267840000,7528.390137,"2011-08-31"
7528.390137,7584.72998,7440.600098,7443.459961,4780410000,7443.459961,"2011-09-01"
7528.390137,7528.390137,7229.450195,7250.72998,4401740000,7250.72998,"2011-09-02"
7443.459961,7443.459961,7005.410156,7148.129883,5103980000,7148.129883,"2011-09-06"
7148.129883,7355.169922,7148.129883,7355.169922,4441040000,7355.169922,"2011-09-07"
7148.129883,7371.290039,7148.129883,7257.359863,4465170000,7257.359863,"2011-09-08"
7355.169922,7355.169922,7012.589844,7045.009766,4586370000,7045.009766,"2011-09-09"
7257.359863,7257.359863,6894.700195,7047.120117,5168550000,7047.120117,"2011-09-12"
7045.009766,7131.279785,7010.77002,7109.950195,4681370000,7109.950195,"2011-09-13"
7047.120117,7273.049805,7033.490234,7199.120117,4986740000,7199.120117,"2011-09-14"
7109.950195,7329.120117,7109.950195,7329.100098,4479730000,7329.100098,"2011-09-15"
7199.120117,7385.120117,7199.120117,7348.180176,5248890000,7348.180176,"2011-09-16"
7329.100098,7348.180176,7146.5,7234.629883,4254190000,7234.629883,"2011-09-19"
7348.180176,7348.180176,7206.72998,7217.109863,4315610000,7217.109863,"2011-09-20"
7217.109863,7227.060059,6979.290039,6981.330078,4728550000,6981.330078,"2011-09-21"
7217.109863,7217.109863,6641.299805,6726.620117,6703140000,6726.620117,"2011-09-22"
6981.330078,6981.330078,6676.430176,6770.72998,5639930000,6770.72998,"2011-09-23"
6770.72998,6945.709961,6733.330078,6940.810059,4762830000,6940.810059,"2011-09-26"
6940.810059,7169.080078,6940.810059,7043.120117,5548130000,7043.120117,"2011-09-27"
7043.120117,7094.359863,6873.709961,6876.939941,4787920000,6876.939941,"2011-09-28"
6876.939941,7051.390137,6853.870117,6974.910156,5285740000,6974.910156,"2011-09-29"
6974.910156,6974.910156,6791.609863,6791.649902,4416790000,6791.649902,"2011-09-30"
6791.649902,6819.089844,6570.540039,6571.450195,5670340000,6571.450195,"2011-10-03"
6574.290039,6727.120117,6414.890137,6722.97998,3714670000,6722.97998,"2011-10-04"
6722.97998,6856.879883,6674.290039,6844.160156,2510620000,6844.160156,"2011-10-05"
6844.160156,7000.120117,6799.200195,6997.640137,5098330000,6997.640137,"2011-10-06"
6997.640137,7046.149902,6722.97998,6925.799805,5580380000,6925.799805,"2011-10-07"
6925.799805,7173.450195,6844.160156,7173.450195,4446800000,7173.450195,"2011-10-10"
7173.450195,7178.52002,7103.040039,7161.259766,4424500000,7161.259766,"2011-10-11"
7161.259766,7337.27002,7161.259766,7263.689941,5355360000,7263.689941,"2011-10-12"
7263.689941,7263.689941,7140.02002,7229.080078,4436270000,7229.080078,"2011-10-13"
7229.080078,7351.879883,7229.080078,7350.459961,4116690000,7350.459961,"2011-10-14"
7350.459961,7350.459961,7178.200195,7188.660156,4300700000,7188.660156,"2011-10-17"
7188.660156,7385.870117,7120.379883,7341.72998,4840170000,7341.72998,"2011-10-18"
7341.72998,7365.660156,7220.72998,7240.259766,4846390000,7240.259766,"2011-10-19"
7240.259766,7291.350098,7157.209961,7273.899902,4870290000,7273.899902,"2011-10-20"
7273.899902,7431.620117,7273.899902,7431.100098,4980770000,7431.100098,"2011-10-21"
7431.100098,7555.990234,7431.100098,7547.629883,4309380000,7547.629883,"2011-10-24"
7547.629883,7547.629883,7389.100098,7400.819824,4473970000,7400.819824,"2011-10-25"
7400.819824,7528.609863,7369.189941,7506.149902,4873530000,7506.149902,"2011-10-26"
7506.149902,7864.490234,7506.149902,7813.990234,6367610000,7813.990234,"2011-10-27"
7813.990234,7814.459961,7756.700195,7803.939941,4536690000,7803.939941,"2011-10-28"
7803.939941,7803.939941,7562.790039,7563.379883,4310210000,7563.379883,"2011-10-31"
7565.029785,7565.029785,7303.759766,7337.149902,5645540000,7337.149902,"2011-11-01"
7337.140137,7490.970215,7337.140137,7461.100098,4110530000,7461.100098,"2011-11-02"
7461.160156,7616.779785,7437.439941,7605.140137,4849140000,7605.140137,"2011-11-03"
7605.140137,7605.140137,7457.819824,7552.22998,3830650000,7552.22998,"2011-11-04"
7552.22998,7592.810059,7461.160156,7590.430176,3429740000,7590.430176,"2011-11-07"
7590.430176,7681.220215,7546.529785,7671.910156,3908490000,7671.910156,"2011-11-08"
7671.910156,7671.910156,7344.620117,7353.450195,4659740000,7353.450195,"2011-11-09"
7353.450195,7463.890137,7352.540039,7423.640137,4002760000,7423.640137,"2011-11-10"
7423.680176,7599.160156,7423.680176,7576.180176,3370180000,7576.180176,"2011-11-11"
7576.180176,7576.180176,7459.529785,7493.290039,3219680000,7493.290039,"2011-11-14"
7493.299805,7547.439941,7432.259766,7509.049805,3599300000,7509.049805,"2011-11-15"
7509.049805,7525.870117,7387.319824,7392.02002,4085010000,7392.02002,"2011-11-16"
