"STOXX50E.Open","STOXX50E.High","STOXX50E.Low","STOXX50E.Close","STOXX50E.Volume","STOXX50E.Adjusted","Date"
5434.810059,5434.810059,5434.810059,5434.810059,0,5434.810059,"2000-05-02"
5316.939941,5316.939941,5316.939941,5316.939941,0,5316.939941,"2000-05-03"
5306.319824,5306.319824,5306.319824,5306.319824,0,5306.319824,"2000-05-04"
5351.709961,5351.709961,5351.709961,5351.709961,0,5351.709961,"2000-05-05"
5285.089844,5285.089844,5285.089844,5285.089844,0,5285.089844,"2000-05-08"
5182.72998,5182.72998,5182.72998,5182.72998,0,5182.72998,"2000-05-09"
5065.850098,5065.850098,5065.850098,5065.850098,0,5065.850098,"2000-05-10"
5171.77002,5171.77002,5171.77002,5171.77002,0,5171.77002,"2000-05-11"
5238.419922,5238.419922,5238.419922,5238.419922,0,5238.419922,"2000-05-12"
5182.680176,5182.680176,5182.680176,5182.680176,0,5182.680176,"2000-05-15"
5335.02002,5335.02002,5335.02002,5335.02002,0,5335.02002,"2000-05-16"
5230.740234,5230.740234,5230.740234,5230.740234,0,5230.740234,"2000-05-17"
5247.129883,5247.129883,5247.129883,5247.129883,0,5247.129883,"2000-05-18"
5063.459961,5063.459961,5063.459961,5063.459961,0,5063.459961,"2000-05-19"
4945.169922,4945.169922,4945.169922,4945.169922,0,4945.169922,"2000-05-22"
4984.700195,4984.700195,4984.700195,4984.700195,0,4984.700195,"2000-05-23"
4903.919922,4903.919922,4903.919922,4903.919922,0,4903.919922,"2000-05-24"
5018.790039,5018.790039,5018.790039,5018.790039,0,5018.790039,"2000-05-25"
5007.970215,5007.970215,5007.970215,5007.970215,0,5007.970215,"2000-05-26"
5084.689941,5084.689941,5084.689941,5084.689941,0,5084.689941,"2000-05-29"
5156.069824,5156.069824,5156.069824,5156.069824,0,5156.069824,"2000-05-30"
5200.890137,5200.890137,5200.890137,5200.890137,0,5200.890137,"2000-05-31"
5275.200195,5275.200195,5275.200195,5275.200195,0,5275.200195,"2000-06-01"
5428.27002,5428.27002,5428.27002,5428.27002,0,5428.27002,"2000-06-02"
5379.600098,5379.600098,5379.600098,5379.600098,0,5379.600098,"2000-06-05"
5325.870117,5325.870117,5325.870117,5325.870117,0,5325.870117,"2000-06-06"
5272.370117,5272.370117,5272.370117,5272.370117,0,5272.370117,"2000-06-07"
5286.740234,5286.740234,5286.740234,5286.740234,0,5286.740234,"2000-06-08"
5292.970215,5292.970215,5292.970215,5292.970215,0,5292.970215,"2000-06-09"
5294.649902,5294.649902,5294.649902,5294.649902,0,5294.649902,"2000-06-12"
5305.339844,5305.339844,5305.339844,5305.339844,0,5305.339844,"2000-06-13"
5379.569824,5379.569824,5379.569824,5379.569824,0,5379.569824,"2000-06-14"
5338.490234,5338.490234,5338.490234,5338.490234,0,5338.490234,"2000-06-15"
5281.569824,5281.569824,5281.569824,5281.569824,0,5281.569824,"2000-06-16"
5271.819824,5271.819824,5271.819824,5271.819824,0,5271.819824,"2000-06-19"
5312.129883,5312.129883,5312.129883,5312.129883,0,5312.129883,"2000-06-20"
5253.299805,5253.299805,5253.299805,5253.299805,0,5253.299805,"2000-06-21"
5231.930176,5231.930176,5231.930176,5231.930176,0,5231.930176,"2000-06-22"
5240.580078,5240.580078,5240.580078,5240.580078,0,5240.580078,"2000-06-23"
5235.390137,5235.390137,5235.390137,5235.390137,0,5235.390137,"2000-06-26"
5209.529785,5209.529785,5209.529785,5209.529785,0,5209.529785,"2000-06-27"
5229.169922,5229.169922,5229.169922,5229.169922,0,5229.169922,"2000-06-28"
5061.629883,5061.629883,5061.629883,5061.629883,0,5061.629883,"2000-06-29"
5145.350098,5145.350098,5145.350098,5145.350098,0,5145.350098,"2000-06-30"
5187.009766,5187.009766,5187.009766,5187.009766,0,5187.009766,"2000-07-03"
5185.870117,5185.870117,5185.870117,5185.870117,0,5185.870117,"2000-07-04"
5166.25,5166.25,5166.25,5166.25,0,5166.25,"2000-07-05"
5152.379883,5152.379883,5152.379883,5152.379883,0,5152.379883,"2000-07-06"
5251.649902,5251.649902,5251.649902,5251.649902,0,5251.649902,"2000-07-07"
5263.970215,5263.970215,5263.970215,5263.970215,0,5263.970215,"2000-07-10"
5231.330078,5231.330078,5231.330078,5231.330078,0,5231.330078,"2000-07-11"
5249.149902,5249.149902,5249.149902,5249.149902,0,5249.149902,"2000-07-12"
5299.540039,5299.540039,5299.540039,5299.540039,0,5299.540039,"2000-07-13"
5320.060059,5320.060059,5320.060059,5320.060059,0,5320.060059,"2000-07-14"
5357.189941,5357.189941,5357.189941,5357.189941,0,5357.189941,"2000-07-17"
5314.950195,5314.950195,5314.950195,5314.950195,0,5314.950195,"2000-07-18"
5294.759766,5294.759766,5294.759766,5294.759766,0,5294.759766,"2000-07-19"
5316.509766,5316.509766,5316.509766,5316.509766,0,5316.509766,"2000-07-20"
5238.02002,5238.02002,5238.02002,5238.02002,0,5238.02002,"2000-07-21"
5237.950195,5237.950195,5237.950195,5237.950195,0,5237.950195,"2000-07-24"
5212.830078,5212.830078,5212.830078,5212.830078,0,5212.830078,"2000-07-25"
5222.830078,5222.830078,5222.830078,5222.830078,0,5222.830078,"2000-07-26"
5097.410156,5097.410156,5097.410156,5097.410156,0,5097.410156,"2000-07-27"
5061.830078,5061.830078,5061.830078,5061.830078,0,5061.830078,"2000-07-28"
5122.799805,5122.799805,5122.799805,5122.799805,0,5122.799805,"2000-07-31"
5104.22998,5104.22998,5104.22998,5104.22998,0,5104.22998,"2000-08-01"
5091.859863,5091.859863,5091.859863,5091.859863,0,5091.859863,"2000-08-02"
4995.819824,4995.819824,4995.819824,4995.819824,0,4995.819824,"2000-08-03"
5049.450195,5049.450195,5049.450195,5049.450195,0,5049.450195,"2000-08-04"
5088.410156,5088.410156,5088.410156,5088.410156,0,5088.410156,"2000-08-07"
5105.52002,5105.52002,5105.52002,5105.52002,0,5105.52002,"2000-08-08"
