"GSPTSE.Open","GSPTSE.High","GSPTSE.Low","GSPTSE.Close","GSPTSE.Volume","GSPTSE.Adjusted","Date"
11212.200195,11308.400391,11200.799805,11247.900391,83435300,11247.900391,"2000-08-31"
11375.400391,11400,11331.700195,11388.799805,58573600,11388.799805,"2000-09-01"
NA,NA,NA,NA,NA,NA,"2000-09-04"
11402,11402,11324.400391,11328.200195,78197900,11328.200195,"2000-09-05"
11312.299805,11317.299805,11135,11150.700195,107807900,11150.700195,"2000-09-06"
11205,11205,10980.299805,11061.599609,116858900,11061.599609,"2000-09-07"
11020,11020,10799.099609,10819.799805,88182600,10819.799805,"2000-09-08"
10733.400391,10927,10660.900391,10682.099609,76297200,10682.099609,"2000-09-11"
10686.099609,10763,10557,10557,105519400,10557,"2000-09-12"
10579.299805,10794.400391,10579.299805,10749.599609,87092000,10749.599609,"2000-09-13"
10923.5,11078.099609,10923.5,11078.099609,105964200,11078.099609,"2000-09-14"
11048,11128.799805,11016,11063.599609,90070700,11063.599609,"2000-09-15"
11018.400391,11032.099609,10782,10782,78947900,10782,"2000-09-18"
10801.799805,10927.799805,10782.400391,10914.5,89735600,10914.5,"2000-09-19"
10927.200195,10927.200195,10766.200195,10813.099609,99970400,10813.099609,"2000-09-20"
10665.299805,10665.299805,10541.099609,10601,93732300,10601,"2000-09-21"
10427.5,10588.299805,10427.5,10566,69490000,10566,"2000-09-22"
10758.799805,10790,10553.599609,10631,76479000,10631,"2000-09-25"
10611.099609,10664.400391,10478.599609,10478.599609,93733500,10478.599609,"2000-09-26"
10549.5,10549.5,10213,10250,88912600,10250,"2000-09-27"
10234.599609,10501.400391,10203,10431.900391,78414900,10431.900391,"2000-09-28"
10398,10469.299805,10366,10377.900391,68668200,10377.900391,"2000-09-29"
10491.700195,10570,10442.799805,10442.799805,85964000,10442.799805,"2000-10-02"
10589.299805,10635.900391,10456.400391,10456.400391,115790800,10456.400391,"2000-10-03"
10421.5,10544.099609,10343.299805,10524.700195,92377300,10524.700195,"2000-10-04"
10571.200195,10701.5,10571.200195,10701.400391,134319900,10701.400391,"2000-10-05"
10690.099609,10690.099609,10367.599609,10432.5,107812100,10432.5,"2000-10-06"
10432.5,10432.5,10432.5,10432.5,0,10432.5,"2000-10-09"
10491.099609,10562.299805,10368.200195,10394.799805,83891300,10394.799805,"2000-10-10"
10252.700195,10269.700195,10039.299805,10145,106196700,10145,"2000-10-11"
10241.099609,10241.099609,10000.900391,10026.900391,112357800,10026.900391,"2000-10-12"
10043.900391,10326.700195,10042.5,10320.799805,94394800,10320.799805,"2000-10-13"
10258.900391,10508,10258.900391,10493,74976500,10493,"2000-10-16"
10424.900391,10445.599609,10132.599609,10132.599609,101965300,10132.599609,"2000-10-17"
9848.700195,10052.299805,9848.700195,9926.799805,92271500,9926.799805,"2000-10-18"
10184.599609,10317.799805,10166.799805,10231.599609,125154200,10231.599609,"2000-10-19"
10370.099609,10535.799805,10336.200195,10485.200195,98104000,10485.200195,"2000-10-20"
10553.799805,10553.799805,10382.400391,10473,76000300,10473,"2000-10-23"
10559.599609,10599.400391,10307.599609,10352.099609,87267900,10352.099609,"2000-10-24"
9470.299805,9522.900391,9412.200195,9511.799805,109544600,9511.799805,"2000-10-25"
9465.400391,9507.599609,9226,9428.700195,123209800,9428.700195,"2000-10-26"
9587.799805,9587.799805,9321.900391,9321.900391,95046500,9321.900391,"2000-10-27"
9205.799805,9260.200195,9185.599609,9253.099609,114299400,9253.099609,"2000-10-30"
9343.599609,9639.900391,9343.599609,9639.599609,116774300,9639.599609,"2000-10-31"
9561.299805,9661.299805,9557.700195,9594,97469300,9594,"2000-11-01"
9621.700195,9636.900391,9555,9623.299805,95799300,9623.299805,"2000-11-02"
9686.200195,9758.400391,9683.200195,9720.400391,84803500,9720.400391,"2000-11-03"
9786.200195,9786.200195,9648.400391,9714.200195,86402900,9714.200195,"2000-11-06"
9638.799805,9680.099609,9575.400391,9576.799805,86297900,9576.799805,"2000-11-07"
9667,9667,9543.099609,9552.5,85284000,9552.5,"2000-11-08"
9413.599609,9493,9332.099609,9411.5,80531100,9411.5,"2000-11-09"
9304,9304.400391,9199.099609,9199.099609,68450200,9199.099609,"2000-11-10"
9028.299805,9170.900391,8959.299805,9115.099609,78556800,9115.099609,"2000-11-13"
9269.099609,9269.099609,9196.200195,9265.299805,96502200,9265.299805,"2000-11-14"
9252.200195,9252.200195,9141.5,9187.099609,88486400,9187.099609,"2000-11-15"
9065.900391,9094.5,8939,8964.200195,106660800,8964.200195,"2000-11-16"
8830.700195,8953,8770.200195,8953,100493000,8953,"2000-11-17"
8859.299805,8944.299805,8859.299805,8935.099609,69411600,8935.099609,"2000-11-20"
8986.400391,9075.799805,8906.799805,9013.900391,102821400,9013.900391,"2000-11-21"
8976.799805,8976.799805,8786.099609,8844.599609,103177100,8844.599609,"2000-11-22"
8844.599609,8924.700195,8807.299805,8924.700195,719200,8924.700195,"2000-11-23"
8994.5,9036,8962,9024.400391,66751200,9024.400391,"2000-11-24"
9174.900391,9178.299805,9116.900391,9127.400391,89332800,9127.400391,"2000-11-27"
9075,9084.299805,8925.200195,8925.200195,89782300,8925.200195,"2000-11-28"
8882.299805,8934.799805,8746,8821.099609,87979600,8821.099609,"2000-11-29"
8694.599609,8821,8593.5,8819.900391,99898500,8819.900391,"2000-11-30"
8896.799805,8974.5,8894.599609,8941.200195,91751900,8941.200195,"2000-12-01"
8970,8970,8896,8944.700195,79116800,8944.700195,"2000-12-04"
